episode,frame,running_reward,max_reward,time
1064,550000,182.5,560.0,14204.591731071472
1082,560000,191.85,560.0,14484.034645080566
1098,570000,199.85,560.0,14763.875185012817
1117,580000,210.5,560.0,15045.841073036194
1133,590000,210.0,560.0,15327.378448963165
1153,600000,208.2,655.0,15609.405070066452
1170,610000,220.05,655.0,15892.468852043152
1189,620000,223.7,655.0,16176.964472055435
1207,630000,222.85,655.0,16461.460734128952
1225,640000,223.0,655.0,16745.10337495804
1243,650000,217.45,630.0,17029.736907958984
1263,660000,215.05,630.0,17315.917406082153
1281,670000,211.9,695.0,17602.315092086792
1298,680000,215.1,695.0,17888.797621011734
1316,690000,214.2,695.0,18177.81688809395
1335,700000,204.15,695.0,18466.116970062256
1354,710000,205.1,695.0,18756.43474793434
1371,720000,211.2,870.0,19046.98431992531
1389,730000,205.35,870.0,19338.266441106796
1407,740000,203.05,870.0,19629.93737101555
1424,750000,216.15,870.0,19922.406959056854
1440,760000,222.85,870.0,20215.18194913864
1455,770000,234.25,870.0,20509.67704796791
1471,780000,237.9,820.0,20804.088118076324
1488,790000,243.6,820.0,21099.38511800766
1504,800000,254.75,820.0,21395.542391061783
1520,810000,258.75,820.0,21692.3359041214
1535,820000,257.55,820.0,21989.787693977356
1552,830000,252.05,820.0,22288.006151914597
1568,840000,257.0,820.0,22587.37405014038
1583,850000,252.3,745.0,22887.14315009117
1599,860000,252.15,745.0,23188.21007514
1617,870000,251.05,745.0,23490.78268814087
1631,880000,253.85,745.0,23794.204550027847
1648,890000,253.9,745.0,24097.761196136475
1662,900000,259.75,695.0,24401.981877088547
1679,910000,255.8,695.0,24706.68027997017
1695,920000,249.9,695.0,25011.894830942154
1710,930000,250.4,695.0,25320.617677927017
1726,940000,245.2,665.0,25629.77545595169
1741,950000,248.95,665.0,25939.26043701172
1755,960000,249.15,665.0,26250.711183071136
1770,970000,252.95,665.0,26561.684612989426
1785,980000,263.55,730.0,26873.350364923477
1800,990000,269.6,730.0,27186.386105060577
1816,1000000,273.85,730.0,27500.073887109756
1830,1010000,268.35,730.0,27812.701367139816
1845,1020000,271.35,730.0,28125.664958953857
1860,1030000,274.45,770.0,28438.653183937073
1873,1040000,263.05,770.0,28750.735062122345
1888,1050000,269.8,770.0,29063.5642619133
1900,1060000,281.0,770.0,29376.19781112671
1915,1070000,286.9,835.0,29689.589292049408
1930,1080000,286.8,835.0,30002.89018201828
1946,1090000,279.85,835.0,30316.698380947113
1959,1100000,286.7,835.0,30629.73959493637
1976,1110000,279.85,835.0,30942.858809947968
1990,1120000,275.25,835.0,31255.734444141388
2006,1130000,269.4,835.0,31569.24420595169
2021,1140000,258.9,725.0,31882.49299812317
2037,1150000,259.75,725.0,32195.514693021774
2053,1160000,260.95,725.0,32508.948008060455
2067,1170000,253.95,725.0,32821.79693698883
2079,1180000,273.75,725.0,33133.98156094551
2092,1190000,283.15,705.0,33447.809054136276
2107,1200000,289.45,705.0,33761.48501205444
2121,1210000,296.45,705.0,34075.251145124435
2136,1220000,300.05,705.0,34389.433578014374
2149,1230000,304.35,705.0,34702.94801402092
2164,1240000,302.6,705.0,35016.88926291466
2178,1250000,293.75,655.0,35331.0200150013
2194,1260000,289.4,655.0,35645.24298906326
2208,1270000,281.7,620.0,35959.45454406738
2223,1280000,286.3,730.0,36273.6526761055
2235,1290000,292.85,750.0,36587.137619018555
2250,1300000,291.8,750.0,36901.5131649971
2266,1310000,284.0,750.0,37216.12429308891
2280,1320000,285.9,750.0,37531.000834941864
2294,1330000,292.55,750.0,37845.89850997925
2308,1340000,294.85,750.0,38160.4427959919
2322,1350000,287.95,750.0,38475.55531692505
2336,1360000,287.45,745.0,38789.96712112427
2352,1370000,281.55,745.0,39104.9801530838
2367,1380000,293.55,745.0,39419.85226607323
2382,1390000,280.95,745.0,39735.169641017914
2397,1400000,278.9,745.0,40047.9762840271
2411,1410000,282.3,745.0,40360.57754611969
2426,1420000,274.1,745.0,40672.67987704277
2443,1430000,261.4,600.0,40984.76019310951
2458,1440000,263.4,590.0,41296.9844930172
2475,1450000,256.7,590.0,41610.870528936386
2491,1460000,252.35,590.0,41931.472387075424
2508,1470000,253.2,590.0,42252.01752114296
