episode,reward,running_reward,max_reward,epsilon,loss,time_since_start
3268,190.0,260.95,845.0,0.1,0.350188285112381,6590.58860206604
3280,215.0,264.6,595.0,0.1,0.7329807281494141,6622.626664161682
3295,80.0,270.25,795.0,0.1,0.39524996280670166,6654.489413976669
3308,65.0,282.75,795.0,0.1,0.45793771743774414,6686.781449079514
3322,210.0,276.2,795.0,0.1,1.353308081626892,6718.535294055939
3336,50.0,283.25,795.0,0.1,0.4051990509033203,6751.043570995331
3352,195.0,276.45,795.0,0.1,0.49390238523483276,6783.169456005096
3368,15.0,282.35,795.0,0.1,0.42471614480018616,6815.222253084183
3384,45.0,263.95,795.0,0.1,0.4964882433414459,6846.850568056107
3397,125.0,267.45,700.0,0.1,0.2875937223434448,6879.024511098862
3410,380.0,264.35,595.0,0.1,0.7068584561347961,6911.581928014755
3422,195.0,275.2,620.0,0.1,0.7558589577674866,6943.828794956207
3434,400.0,278.85,620.0,0.1,1.3505239486694336,6975.706835031509
3450,30.0,280.55,675.0,0.1,0.7680925130844116,7007.982545137405
3464,195.0,284.5,735.0,0.1,0.8096287846565247,7040.278501033783
3479,125.0,294.45,735.0,0.1,2.3368353843688965,7072.886192083359
3493,155.0,299.55,735.0,0.1,0.39757606387138367,7104.887552022934
3505,290.0,307.9,905.0,0.1,1.0095162391662598,7137.859393119812
3519,410.0,299.2,905.0,0.1,0.6408916711807251,7170.480829954147
3532,0.0,298.4,905.0,0.1,0.4211843013763428,7203.32181096077
3546,80.0,304.1,905.0,0.1,0.5150864124298096,7235.5449731349945
3561,100.0,300.8,905.0,0.1,0.26971107721328735,7268.42421412468
3574,190.0,305.15,905.0,0.1,0.472904235124588,7300.644116163254
3589,100.0,302.7,905.0,0.1,0.7179282903671265,7333.583815097809
3602,0.0,299.8,905.0,0.1,0.4327487051486969,7366.798732042313
3614,125.0,298.35,1030.0,0.1,0.34705471992492676,7399.191796064377
3626,180.0,306.5,1030.0,0.1,0.2470100224018097,7431.547897100449
3642,5.0,297.85,1030.0,0.1,1.3934943675994873,7464.446666002274
3657,0.0,297.9,1030.0,0.1,1.0593771934509277,7497.219908952713
3670,155.0,300.4,1030.0,0.1,0.4871026575565338,7529.9183230400085
3683,30.0,303.05,1030.0,0.1,0.27303916215896606,7562.318588018417
3697,0.0,306.45,1030.0,0.1,0.32047802209854126,7595.313018083572
3710,20.0,302.7,1030.0,0.1,0.6567234992980957,7632.801429986954
3722,320.0,297.45,750.0,0.1,0.49472588300704956,7671.969298124313
3737,320.0,294.55,750.0,0.1,0.628703236579895,7710.940682172775
3750,90.0,303.75,750.0,0.1,0.5314416885375977,7750.029262065887
3766,0.0,289.85,750.0,0.1,0.4133666753768921,7789.575220108032
3780,95.0,281.15,690.0,0.1,0.8072251677513123,7828.795143127441
3794,185.0,282.1,690.0,0.1,0.3691045045852661,7867.754526138306
3808,355.0,280.85,690.0,0.1,0.20012378692626953,7903.030480146408
3821,330.0,275.75,730.0,0.1,0.9186485409736633,7936.45441699028
3834,465.0,284.15,730.0,0.1,1.0768071413040161,7969.710564136505
3848,255.0,292.4,730.0,0.1,0.645349383354187,8002.516895055771
3862,320.0,296.5,745.0,0.1,0.4647439420223236,8035.085556983948
3875,105.0,307.25,745.0,0.1,0.7578909397125244,8068.078536987305
3891,0.0,299.4,745.0,0.1,0.3801025450229645,8101.13037610054
3905,55.0,303.4,745.0,0.1,0.6362850666046143,8135.957581996918
3917,505.0,306.3,745.0,0.1,0.37363308668136597,8173.450570106506
3931,150.0,308.4,745.0,0.1,0.6625137329101562,8210.718820095062
3943,155.0,309.05,745.0,0.1,2.4642865657806396,8248.12020111084
3956,480.0,307.4,720.0,0.1,0.2777889370918274,8286.542592048645
3968,245.0,319.4,720.0,0.1,2.2602107524871826,8323.522505998611
3981,135.0,329.4,720.0,0.1,0.9412621855735779,8360.149214029312
3999,50.0,318.8,720.0,0.1,1.3384695053100586,8398.062368154526
4013,385.0,316.4,735.0,0.1,0.5592500567436218,8436.111737966537
4028,420.0,310.6,735.0,0.1,0.3089120388031006,8473.400743961334
4042,620.0,302.2,735.0,0.1,0.4100940227508545,8511.137382030487
4059,135.0,293.4,735.0,0.1,0.46809321641921997,8548.67100596428
4075,125.0,273.85,735.0,0.1,0.797545850276947,8586.454223155975
4090,255.0,268.8,735.0,0.1,0.7247611284255981,8623.938044071198
4106,45.0,269.4,620.0,0.1,0.47868746519088745,8659.530956983566
4120,0.0,279.75,700.0,0.1,0.4180351197719574,8691.225368976593
4135,125.0,279.65,700.0,0.1,0.7248483896255493,8723.664245128632
4150,440.0,271.7,700.0,0.1,0.3495251536369324,8755.77064204216
4166,90.0,279.25,700.0,0.1,0.35694438219070435,8787.82714009285
4181,80.0,277.65,700.0,0.1,0.4036361873149872,8819.515793085098
4194,80.0,287.85,700.0,0.1,1.0262503623962402,8851.781949043274
4208,410.0,282.4,700.0,0.1,0.6438713073730469,8883.923174142838
4224,0.0,267.0,640.0,0.1,0.6199209690093994,8916.03205704689
4238,135.0,278.95,640.0,0.1,0.6611868739128113,8947.732969045639
4254,0.0,271.5,640.0,0.1,2.8338770866394043,8980.001197099686
4269,55.0,274.1,620.0,0.1,0.5552915334701538,9012.274461984634
4283,180.0,279.75,620.0,0.1,0.6334236860275269,9044.578673124313
4299,0.0,269.95,560.0,0.1,0.6890373229980469,9076.232934951782
4313,260.0,267.1,560.0,0.1,0.8114653825759888,9108.761270999908
4326,110.0,282.95,765.0,0.1,1.0549798011779785,9140.58407497406
4341,135.0,277.65,765.0,0.1,1.2046124935150146,9172.876645088196
4357,180.0,272.6,765.0,0.1,0.36153408885002136,9204.637436151505
4370,65.0,285.6,765.0,0.1,0.3150267004966736,9236.683084011078
4384,240.0,288.0,765.0,0.1,1.4287117719650269,9268.940621137619
4399,110.0,285.25,765.0,0.1,0.662045955657959,9301.343016147614
4410,195.0,298.9,765.0,0.1,0.34739992022514343,9333.638000965118
4424,180.0,287.3,650.0,0.1,0.7522623538970947,9365.796892166138
4439,220.0,287.2,650.0,0.1,1.049752116203308,9397.825917959213
4454,340.0,292.85,650.0,0.1,1.01143479347229,9430.144945144653
4470,430.0,275.65,745.0,0.1,0.755333662033081,9462.300366163254
4484,410.0,277.05,745.0,0.1,0.42777425050735474,9494.422539949417
4496,0.0,296.55,850.0,0.1,1.760384202003479,9526.030179977417
4512,120.0,280.15,850.0,0.1,0.5552406907081604,9559.24989104271
4527,110.0,289.65,850.0,0.1,0.3165273666381836,9591.50774717331
4544,110.0,279.1,850.0,0.1,0.5970299243927002,9623.799211978912
4562,0.0,276.1,850.0,0.1,1.1742647886276245,9656.069684028625
4576,210.0,277.8,850.0,0.1,0.32345050573349,9688.531860113144
4592,35.0,265.15,800.0,0.1,0.9689508676528931,9720.910372972488
4607,180.0,271.7,800.0,0.1,0.45833703875541687,9753.691307067871
4620,200.0,275.4,775.0,0.1,0.5404188632965088,9785.721642017365
4633,35.0,285.0,695.0,0.1,0.4797472357749939,9818.088526964188
4648,375.0,286.85,695.0,0.1,0.8910747766494751,9850.469496011734
4663,125.0,292.3,695.0,0.1,0.864713728427887,9883.10380411148
4678,195.0,291.0,695.0,0.1,1.1144027709960938,9915.012506961823
4693,260.0,293.4,700.0,0.1,6.971909046173096,9947.430511951447
4706,210.0,289.35,700.0,0.1,1.1318949460983276,9980.738933086395
4721,305.0,281.75,700.0,0.1,1.4434914588928223,10013.72843003273
4737,90.0,277.5,710.0,0.1,1.6312707662582397,10046.064718961716
4752,310.0,279.4,1085.0,0.1,0.7074145078659058,10078.593783140182
4766,445.0,284.9,1085.0,0.1,0.47220683097839355,10110.85650897026
4782,180.0,278.1,1085.0,0.1,1.4734630584716797,10143.858883142471
4795,155.0,277.55,1085.0,0.1,1.2851507663726807,10176.42091012001
4811,100.0,277.15,1085.0,0.1,0.3651079833507538,10209.378707170486
4825,140.0,288.75,1085.0,0.1,0.7458435893058777,10241.92763209343
4839,0.0,291.35,1085.0,0.1,0.6243419647216797,10274.597143173218
4853,5.0,289.4,1000.0,0.1,0.3361424207687378,10307.497292041779
4865,130.0,297.2,710.0,0.1,0.5606412887573242,10339.900653123856
4878,125.0,312.25,725.0,0.1,1.483750581741333,10372.351819038391
4892,180.0,320.35,725.0,0.1,0.5382897853851318,10404.914427042007
4906,150.0,325.95,725.0,0.1,0.7871630191802979,10438.027637004852
4920,495.0,324.15,725.0,0.1,0.9683127999305725,10469.58294415474
4934,0.0,323.8,725.0,0.1,0.4453902244567871,10501.148693084717
4948,240.0,319.65,725.0,0.1,0.8058788776397705,10532.745553970337
4963,340.0,311.25,725.0,0.1,0.9791417121887207,10564.516431093216
4977,30.0,302.1,720.0,0.1,0.5141563415527344,10595.936686992645
4990,80.0,298.15,720.0,0.1,0.7321271896362305,10627.454748153687
5004,125.0,289.65,670.0,0.1,1.0113290548324585,10659.463623046875
5019,135.0,290.35,705.0,0.1,1.0553107261657715,10692.121005058289
5034,115.0,278.85,705.0,0.1,1.5467435121536255,10724.106112003326
5048,205.0,283.95,705.0,0.1,0.902824342250824,10755.988578081131
5062,360.0,287.85,705.0,0.1,0.7509218454360962,10787.759348154068
5077,225.0,281.9,705.0,0.1,1.368972659111023,10819.962015151978
5091,580.0,288.3,705.0,0.1,0.30468398332595825,10852.073096036911
5103,220.0,297.55,920.0,0.1,0.4401986598968506,10884.958222150803
5120,180.0,295.3,920.0,0.1,1.0484695434570312,10917.062437057495
5134,145.0,302.2,920.0,0.1,0.7835036516189575,10949.54182600975
5149,30.0,300.1,920.0,0.1,0.7054845094680786,10981.894852161407
5164,120.0,294.0,920.0,0.1,1.1160613298416138,11014.305863142014
5177,180.0,296.6,920.0,0.1,0.4135385751724243,11046.321014165878
5189,140.0,297.75,920.0,0.1,0.938014805316925,11078.703188180923
5203,110.0,289.45,975.0,0.1,0.8638441562652588,11111.507305145264
5217,180.0,289.6,975.0,0.1,0.7087689638137817,11144.19724702835
5233,0.0,288.9,975.0,0.1,0.9596540927886963,11176.620383024216
5247,360.0,286.8,975.0,0.1,0.9390999674797058,11209.024906158447
5260,65.0,292.3,975.0,0.1,1.583167552947998,11241.471898078918
5274,180.0,288.75,975.0,0.1,0.26902318000793457,11274.2736120224
5289,85.0,291.3,975.0,0.1,1.6564998626708984,11306.600788116455
5304,185.0,288.4,735.0,0.1,0.6811502575874329,11339.24308013916
5316,210.0,290.2,735.0,0.1,1.0291181802749634,11371.429034948349
5331,5.0,297.75,735.0,0.1,1.8431141376495361,11404.422321081161
5346,75.0,298.85,735.0,0.1,0.5002310872077942,11436.956557035446
5359,295.0,295.45,735.0,0.1,6.790032863616943,11469.29096698761
5372,260.0,297.7,735.0,0.1,0.4100593626499176,11501.619124174118
5387,330.0,292.05,735.0,0.1,0.39462271332740784,11534.432085037231
5402,35.0,294.4,735.0,0.1,0.8667483329772949,11567.37422299385
5415,110.0,286.15,735.0,0.1,1.4377100467681885,11600.030089139938
5429,75.0,283.35,735.0,0.1,0.31920745968818665,11632.289294958115
5444,0.0,282.0,735.0,0.1,0.7474349141120911,11665.33937907219
5459,105.0,282.0,685.0,0.1,0.3392799496650696,11698.238999128342
5475,80.0,275.9,685.0,0.1,1.363365650177002,11731.140637159348
5490,240.0,274.5,1000.0,0.1,0.7484996318817139,11763.709342002869
5506,15.0,267.45,1000.0,0.1,1.081803560256958,11797.024355173111
5520,425.0,274.1,1000.0,0.1,0.2809188663959503,11829.494241952896
5536,135.0,274.25,1000.0,0.1,0.7422659397125244,11862.466958999634
5550,5.0,283.9,1000.0,0.1,0.6807276010513306,11894.89678812027
5565,0.0,286.55,1000.0,0.1,0.5795563459396362,11927.585009098053
5579,5.0,281.75,845.0,0.1,2.7877354621887207,11960.406583070755
5594,5.0,287.3,845.0,0.1,1.0331151485443115,11993.633983135223
5610,120.0,286.15,845.0,0.1,0.2539575397968292,12026.314144134521
5624,0.0,285.4,845.0,0.1,0.7058809399604797,12059.142364025116
5640,160.0,281.85,710.0,0.1,0.5085972547531128,12091.722306013107
5654,155.0,280.45,695.0,0.1,0.7427089214324951,12124.880943059921
5668,15.0,292.55,580.0,0.1,0.4778093993663788,12157.511059999466
5680,50.0,296.95,615.0,0.1,1.180714726448059,12190.234338998795
5694,90.0,291.15,615.0,0.1,0.37733352184295654,12222.82385802269
5711,75.0,293.2,615.0,0.1,0.2728084623813629,12256.880352020264
5723,210.0,290.05,615.0,0.1,0.8062067627906799,12289.757946968079
5737,65.0,299.4,615.0,0.1,0.8846268653869629,12322.465193033218
5750,210.0,307.85,925.0,0.1,0.15198186039924622,12355.247225046158
5765,80.0,294.8,925.0,0.1,0.8425338268280029,12388.758151054382
5780,215.0,287.9,925.0,0.1,0.4948608875274658,12421.69463801384
